object_key,actual_label,predicted_labels,model_count,high_confidence_wrong_count,reason,risk_score_0_100,risk_category
20036017,0,"[0, 1]",3,0,model_family_disagreement,26.820316,moderate
20038071,1,"[0, 1]",3,0,model_family_disagreement,30.817866,moderate
20038086,0,"[0, 1]",3,0,model_family_disagreement,18.179421,low
20038239,0,"[0, 1]",3,0,model_family_disagreement,31.803796,moderate
20039572,1,"[0, 1]",3,0,model_family_disagreement,27.544049,moderate
20040267,0,"[0, 1]",3,0,model_family_disagreement,25.907096,moderate
20052381,0,"[0, 1]",3,0,model_family_disagreement,23.395853,moderate
20052750,0,"[0, 1]",3,0,model_family_disagreement,20.777797,moderate
20052768,1,"[0, 1]",3,0,model_family_disagreement,31.657988,moderate
20053319,1,"[0, 1]",3,0,model_family_disagreement,35.7898,moderate
20053409,0,"[0, 1]",3,0,model_family_disagreement,30.36541,moderate
20053426,1,"[0, 1]",3,0,model_family_disagreement,35.202974,moderate
20053789,1,"[0, 1]",3,0,model_family_disagreement,23.773546,moderate
20054509,0,"[0, 1]",3,0,model_family_disagreement,31.718508,moderate
20055532,0,"[0, 1]",3,0,model_family_disagreement,22.383803,moderate
20065733,0,"[0, 1]",3,0,model_family_disagreement,29.951842,moderate
20066063,0,"[0, 1]",3,0,model_family_disagreement,31.457817,moderate
20066146,0,"[0, 1]",3,0,model_family_disagreement,28.006727,moderate
20066253,0,"[0, 1]",3,0,model_family_disagreement,29.896855,moderate
20066391,1,"[0, 1]",3,0,model_family_disagreement,32.497319,moderate
20066400,0,"[0, 1]",3,0,model_family_disagreement,21.144279,moderate
20067399,0,"[0, 1]",3,0,model_family_disagreement,31.075243,moderate
20068348,0,"[0, 1]",3,0,model_family_disagreement,26.994453,moderate
20068548,1,"[0, 1]",3,0,model_family_disagreement,26.887881,moderate
20085770,0,"[0, 1]",3,0,model_family_disagreement,27.043976,moderate
20085938,1,"[0, 1]",3,0,model_family_disagreement,32.627003,moderate
20085953,0,"[0, 1]",3,0,model_family_disagreement,22.484893,moderate
20086450,0,"[0, 1]",3,0,model_family_disagreement,28.287768,moderate
20086667,0,"[0, 1]",3,0,model_family_disagreement,20.936222,moderate
20086819,1,"[0, 1]",3,0,model_family_disagreement,26.483165,moderate
20086829,0,"[0, 1]",3,0,model_family_disagreement,23.123956,moderate
20086878,0,"[0, 1]",3,0,model_family_disagreement,30.588551,moderate
20087024,0,"[0, 1]",3,0,model_family_disagreement,27.059034,moderate
20087025,0,"[0, 1]",3,0,model_family_disagreement,27.549769,moderate
20087309,0,"[0, 1]",3,0,model_family_disagreement,19.629691,low
20087311,0,"[0, 1]",3,0,model_family_disagreement,24.00789,moderate
20088213,0,"[0, 1]",3,0,model_family_disagreement,20.738955,moderate
20088710,0,"[0, 1]",3,0,model_family_disagreement,18.522603,low
20089830,1,"[0, 1]",3,0,model_family_disagreement,34.82273,moderate
20089959,1,"[0, 1]",3,0,model_family_disagreement,34.295948,moderate
20090367,0,"[0, 1]",3,0,model_family_disagreement,22.329409,moderate
20096315,0,"[0, 1]",3,0,model_family_disagreement,31.143592,moderate
20096536,0,"[0, 1]",3,0,model_family_disagreement,32.201812,moderate
20096590,0,"[0, 1]",3,0,model_family_disagreement,21.205744,moderate
20096744,0,"[0, 1]",3,0,model_family_disagreement,33.119705,moderate
20098943,0,"[0, 1]",3,0,model_family_disagreement,27.461328,moderate
20099248,1,"[0, 1]",3,0,model_family_disagreement,24.300506,moderate
20099935,0,"[0, 1]",3,0,model_family_disagreement,31.432867,moderate
20100004,0,"[0, 1]",3,0,model_family_disagreement,25.086719,moderate
20100085,1,"[0, 1]",3,0,model_family_disagreement,33.710393,moderate
20103067,1,"[0, 1]",3,0,model_family_disagreement,27.202281,moderate
20105140,0,"[0, 1]",3,0,model_family_disagreement,24.647082,moderate
20106538,0,"[0, 1]",3,0,model_family_disagreement,32.254354,moderate
20106589,0,"[0, 1]",3,0,model_family_disagreement,31.589449,moderate
20108906,0,"[0, 1]",3,0,model_family_disagreement,27.876712,moderate
20111253,1,"[0, 1]",3,0,model_family_disagreement,31.722532,moderate
20136793,0,"[0, 1]",3,0,model_family_disagreement,27.81985,moderate
20136818,0,"[0, 1]",3,0,model_family_disagreement,27.546077,moderate
20136839,0,"[0, 1]",3,0,model_family_disagreement,26.404323,moderate
20136874,0,"[0, 1]",3,1,model_family_disagreement,27.671621,moderate
20136900,0,"[0, 1]",3,0,model_family_disagreement,31.385561,moderate
20137032,0,"[0, 1]",3,0,model_family_disagreement,25.870167,moderate
20137052,0,"[0, 1]",3,0,model_family_disagreement,34.051549,moderate
20137062,0,"[0, 1]",3,0,model_family_disagreement,20.792493,moderate
20137078,0,"[0, 1]",3,0,model_family_disagreement,30.064436,moderate
20137084,0,"[0, 1]",3,0,model_family_disagreement,20.218896,moderate
20137099,0,"[0, 1]",3,0,model_family_disagreement,17.66839,low
20137108,1,"[0, 1]",3,0,model_family_disagreement,41.486136,elevated
20137158,0,"[0, 1]",3,0,model_family_disagreement,28.780931,moderate
20137170,0,"[0, 1]",3,0,model_family_disagreement,33.090244,moderate
20137175,0,"[0, 1]",3,0,model_family_disagreement,28.550896,moderate
20137427,1,"[0, 1]",3,0,model_family_disagreement,39.083018,moderate
20137805,0,"[0, 1]",3,0,model_family_disagreement,25.627501,moderate
20137924,0,"[0, 1]",3,0,model_family_disagreement,24.931875,moderate
20137925,0,"[0, 1]",3,0,model_family_disagreement,22.587903,moderate
20138013,0,"[0, 1]",3,0,model_family_disagreement,28.635853,moderate
20138095,1,"[0, 1]",3,1,model_family_disagreement,35.424762,moderate
20138127,1,"[0, 1]",3,0,model_family_disagreement,27.576315,moderate
20138258,0,"[0, 1]",3,0,model_family_disagreement,31.549345,moderate
20138325,0,"[0, 1]",3,0,model_family_disagreement,30.569167,moderate
20138359,0,"[0, 1]",3,0,model_family_disagreement,19.286594,low
20138524,1,"[0, 1]",3,0,model_family_disagreement,34.615881,moderate
20138852,0,"[0, 1]",3,0,model_family_disagreement,25.356125,moderate
20138859,0,"[0, 1]",3,0,model_family_disagreement,27.812833,moderate
20138893,0,"[0, 1]",3,0,model_family_disagreement,29.998021,moderate
20138911,0,"[0, 1]",3,0,model_family_disagreement,22.185392,moderate
20138947,0,"[0, 1]",3,0,model_family_disagreement,16.67666,low
20139211,1,"[0, 1]",3,0,model_family_disagreement,35.351865,moderate
20139289,0,"[0, 1]",3,0,model_family_disagreement,22.98259,moderate
20139345,0,"[0, 1]",3,0,model_family_disagreement,24.587107,moderate
20140288,1,"[0, 1]",3,0,model_family_disagreement,29.89535,moderate
20140333,0,"[0, 1]",3,0,model_family_disagreement,26.836004,moderate
20141018,0,"[0, 1]",3,0,model_family_disagreement,26.721868,moderate
20141052,0,"[0, 1]",3,0,model_family_disagreement,30.90219,moderate
20141079,0,"[0, 1]",3,0,model_family_disagreement,29.727679,moderate
20141424,0,"[0, 1]",3,0,model_family_disagreement,26.846317,moderate
20141484,0,"[0, 1]",3,0,model_family_disagreement,21.209561,moderate
20141498,0,"[0, 1]",3,0,model_family_disagreement,29.219834,moderate
20141526,0,"[0, 1]",3,0,model_family_disagreement,25.910303,moderate
20141531,0,"[0, 1]",3,0,model_family_disagreement,16.748995,low
20142464,0,"[0, 1]",3,0,model_family_disagreement,20.98828,moderate
20143637,0,"[0, 1]",3,0,model_family_disagreement,31.802458,moderate
20143649,1,"[0, 1]",3,0,model_family_disagreement,40.016219,elevated
20143651,1,"[0, 1]",3,0,model_family_disagreement,41.002285,elevated
20143947,0,"[0, 1]",3,0,model_family_disagreement,34.05117,moderate
20143992,1,"[0, 1]",3,0,model_family_disagreement,36.681196,moderate
20144332,1,"[0, 1]",3,0,model_family_disagreement,40.031933,elevated
20144411,0,"[0, 1]",3,0,model_family_disagreement,31.272792,moderate
20144901,0,"[0, 1]",3,0,model_family_disagreement,26.755788,moderate
20152563,0,"[0, 1]",3,0,model_family_disagreement,18.651902,low
20152564,0,"[0, 1]",3,0,model_family_disagreement,19.045797,low
20152667,0,"[0, 1]",3,0,model_family_disagreement,33.783885,moderate
20152742,0,"[0, 1]",3,0,model_family_disagreement,20.313405,moderate
20152756,0,"[0, 1]",3,0,model_family_disagreement,29.132662,moderate
20152931,0,"[0, 1]",3,0,model_family_disagreement,23.674602,moderate
20152941,0,"[0, 1]",3,0,model_family_disagreement,21.236048,moderate
20152964,0,"[0, 1]",3,0,model_family_disagreement,20.70407,moderate
20153243,0,"[0, 1]",3,0,model_family_disagreement,28.647801,moderate
20153267,0,"[0, 1]",3,0,model_family_disagreement,29.96892,moderate
20153311,1,"[0, 1]",3,0,model_family_disagreement,35.274865,moderate
20153349,0,"[0, 1]",3,0,model_family_disagreement,31.516173,moderate
20153460,0,"[0, 1]",3,0,model_family_disagreement,27.617373,moderate
20153591,1,"[0, 1]",3,0,model_family_disagreement,25.683474,moderate
20153792,0,"[0, 1]",3,0,model_family_disagreement,33.495526,moderate
20153953,0,"[0, 1]",3,0,model_family_disagreement,30.99849,moderate
20154020,0,"[0, 1]",3,0,model_family_disagreement,27.824085,moderate
20154229,0,"[0, 1]",3,0,model_family_disagreement,31.37221,moderate
20154268,0,"[0, 1]",3,0,model_family_disagreement,28.265884,moderate
20154269,1,"[0, 1]",3,0,model_family_disagreement,34.975077,moderate
20154300,0,"[0, 1]",3,0,model_family_disagreement,26.73128,moderate
20154302,1,"[0, 1]",3,0,model_family_disagreement,34.11352,moderate
20154347,0,"[0, 1]",3,0,model_family_disagreement,30.663332,moderate
20154453,0,"[0, 1]",3,0,model_family_disagreement,32.1494,moderate
20154555,0,"[0, 1]",3,0,model_family_disagreement,32.892159,moderate
20154631,0,"[0, 1]",3,0,model_family_disagreement,28.147677,moderate
20154652,0,"[0, 1]",3,0,model_family_disagreement,26.444823,moderate
20154658,0,"[0, 1]",3,0,model_family_disagreement,27.6165,moderate
20154715,0,"[0, 1]",3,0,model_family_disagreement,30.06534,moderate
20154988,0,"[0, 1]",3,0,model_family_disagreement,29.121918,moderate
20154993,0,"[0, 1]",3,0,model_family_disagreement,22.898114,moderate
20155140,0,"[0, 1]",3,0,model_family_disagreement,34.077455,moderate
20155336,0,"[0, 1]",3,0,model_family_disagreement,31.67883,moderate
20159504,1,"[0, 1]",3,0,model_family_disagreement,27.426999,moderate
20159677,0,"[0, 1]",3,0,model_family_disagreement,30.219154,moderate
20159686,0,"[0, 1]",3,0,model_family_disagreement,23.259154,moderate
20159699,0,"[0, 1]",3,0,model_family_disagreement,29.820094,moderate
20159857,1,"[0, 1]",3,0,model_family_disagreement,33.586644,moderate
20162004,0,"[0, 1]",3,0,model_family_disagreement,31.816672,moderate
20162015,0,"[0, 1]",3,0,model_family_disagreement,26.974376,moderate
20162063,0,"[0, 1]",3,0,model_family_disagreement,28.787606,moderate
20162080,0,"[0, 1]",3,0,model_family_disagreement,18.237349,low
20162082,1,"[0, 1]",3,0,model_family_disagreement,29.469934,moderate
20162117,0,"[0, 1]",3,0,model_family_disagreement,28.10055,moderate
20162142,0,"[0, 1]",3,0,model_family_disagreement,18.079618,low
20162157,0,"[0, 1]",3,0,model_family_disagreement,29.14599,moderate
20162195,0,"[0, 1]",3,1,model_family_disagreement,29.937684,moderate
20162210,0,"[0, 1]",3,0,model_family_disagreement,30.495905,moderate
20162215,0,"[0, 1]",3,0,model_family_disagreement,26.172218,moderate
20162269,0,"[0, 1]",3,0,model_family_disagreement,25.686859,moderate
20162385,0,"[0, 1]",3,0,model_family_disagreement,21.435401,moderate
20162433,0,"[0, 1]",3,0,model_family_disagreement,29.696204,moderate
20162463,0,"[0, 1]",3,0,model_family_disagreement,20.459591,moderate
20162470,0,"[0, 1]",3,0,model_family_disagreement,28.071485,moderate
20162474,1,"[0, 1]",3,0,model_family_disagreement,38.901034,moderate
20162510,1,"[0, 1]",3,0,model_family_disagreement,27.707539,moderate
20162679,0,"[0, 1]",3,0,model_family_disagreement,27.79383,moderate
20162694,0,"[0, 1]",3,0,model_family_disagreement,26.774144,moderate
20162723,0,"[0, 1]",3,0,model_family_disagreement,30.048287,moderate
20162911,0,"[0, 1]",3,0,model_family_disagreement,27.282901,moderate
20162913,0,"[0, 1]",3,0,model_family_disagreement,27.71855,moderate
20162979,1,"[0, 1]",3,0,model_family_disagreement,35.382337,moderate
20163000,0,"[0, 1]",3,0,model_family_disagreement,23.248112,moderate
20163014,1,"[0, 1]",3,0,model_family_disagreement,32.85185,moderate
20163015,0,"[0, 1]",3,0,model_family_disagreement,26.64775,moderate
20163023,0,"[0, 1]",3,0,model_family_disagreement,31.170082,moderate
20163051,1,"[0, 1]",3,0,model_family_disagreement,35.302362,moderate
20163081,0,"[0, 1]",3,0,model_family_disagreement,28.306738,moderate
20163132,1,"[0, 1]",3,0,model_family_disagreement,29.632965,moderate
20163295,0,"[0, 1]",3,0,model_family_disagreement,30.208151,moderate
20163454,0,"[0, 1]",3,0,model_family_disagreement,18.481722,low
20163679,0,"[0, 1]",3,0,model_family_disagreement,28.881779,moderate
20163692,0,"[0, 1]",3,0,model_family_disagreement,28.331576,moderate
20163693,0,"[0, 1]",3,0,model_family_disagreement,30.157402,moderate
20163758,0,"[0, 1]",3,0,model_family_disagreement,33.97038,moderate
20164120,0,"[0, 1]",3,0,model_family_disagreement,28.495281,moderate
20164121,1,"[0, 1]",3,0,model_family_disagreement,34.41554,moderate
20164184,0,"[0, 1]",3,0,model_family_disagreement,29.317711,moderate
20164201,0,"[0, 1]",3,0,model_family_disagreement,32.294779,moderate
20164216,1,"[0, 1]",3,0,model_family_disagreement,36.245344,moderate
20164222,0,"[0, 1]",3,0,model_family_disagreement,25.139013,moderate
20164294,0,"[0, 1]",3,0,model_family_disagreement,27.89724,moderate
20168044,0,"[0, 1]",3,0,model_family_disagreement,28.100742,moderate
20168318,1,"[0, 1]",3,0,model_family_disagreement,22.39349,moderate
20170013,0,"[0, 1]",3,0,model_family_disagreement,30.047039,moderate
20170502,0,"[0, 1]",3,1,model_family_disagreement,33.481026,moderate
20171486,0,"[0, 1]",3,0,model_family_disagreement,30.372876,moderate
20171839,1,"[0, 1]",3,0,model_family_disagreement,29.717741,moderate
20172722,0,"[0, 1]",3,0,model_family_disagreement,31.116766,moderate
20173561,1,"[0, 1]",3,0,model_family_disagreement,34.525253,moderate
20175114,0,"[0, 1]",3,0,model_family_disagreement,33.168889,moderate
20175921,0,"[0, 1]",3,0,model_family_disagreement,21.103368,moderate
20177016,0,"[0, 1]",3,0,model_family_disagreement,27.057444,moderate
20177651,0,"[0, 1]",3,0,model_family_disagreement,29.304954,moderate
20186822,0,"[0, 1]",3,0,model_family_disagreement,30.338416,moderate
20186823,0,"[0, 1]",3,0,model_family_disagreement,27.875264,moderate
20187026,0,"[0, 1]",3,0,model_family_disagreement,29.997864,moderate
20189008,0,"[0, 1]",3,0,model_family_disagreement,33.717372,moderate
20189630,0,"[0, 1]",3,0,model_family_disagreement,30.831396,moderate
20190119,0,"[0, 1]",3,0,model_family_disagreement,24.113365,moderate
20190135,0,"[0, 1]",3,0,model_family_disagreement,32.115444,moderate
20190491,0,"[0, 1]",3,0,model_family_disagreement,26.178791,moderate
20190788,0,"[0, 1]",3,0,model_family_disagreement,30.414704,moderate
20192563,1,"[0, 1]",3,0,model_family_disagreement,34.082585,moderate
20192642,0,"[0, 1]",3,0,model_family_disagreement,34.837692,moderate
20193178,0,"[0, 1]",3,0,model_family_disagreement,29.277952,moderate
20196068,1,"[0, 1]",3,0,model_family_disagreement,36.462111,moderate
20197588,1,"[0, 1]",3,0,model_family_disagreement,39.845989,moderate
20200754,0,"[0, 1]",3,0,model_family_disagreement,19.908354,low
20200840,1,"[0, 1]",3,0,model_family_disagreement,32.235314,moderate
20202411,0,"[0, 1]",3,0,model_family_disagreement,29.00035,moderate
20202435,0,"[0, 1]",3,0,model_family_disagreement,29.047174,moderate
20203471,0,"[0, 1]",3,0,model_family_disagreement,28.276559,moderate
20204131,0,"[0, 1]",3,0,model_family_disagreement,29.897054,moderate
20204232,0,"[0, 1]",3,0,model_family_disagreement,27.561854,moderate
20205744,0,"[0, 1]",3,0,model_family_disagreement,32.357807,moderate
20206378,1,"[0, 1]",3,0,model_family_disagreement,20.231427,moderate
20208617,0,"[0, 1]",3,0,model_family_disagreement,31.597032,moderate
20209215,0,"[0, 1]",3,0,model_family_disagreement,25.865193,moderate
20211871,0,"[0, 1]",3,0,model_family_disagreement,20.68708,moderate
20212359,0,"[0, 1]",3,0,model_family_disagreement,21.584486,moderate
20212546,1,"[0, 1]",3,0,model_family_disagreement,35.636251,moderate
20214869,1,"[0, 1]",3,0,model_family_disagreement,35.177311,moderate
20215442,0,"[0, 1]",3,0,model_family_disagreement,21.337887,moderate
20217837,0,"[0, 1]",3,0,model_family_disagreement,27.59434,moderate
20218017,0,"[0, 1]",3,0,model_family_disagreement,17.722124,low
20219071,0,"[0, 1]",3,0,model_family_disagreement,17.721486,low
20220909,0,"[0, 1]",3,0,model_family_disagreement,30.243971,moderate
20225312,0,"[0, 1]",3,0,model_family_disagreement,21.690949,moderate
20225416,0,"[0, 1]",3,0,model_family_disagreement,24.590904,moderate
20225586,0,"[0, 1]",3,0,model_family_disagreement,28.997313,moderate
20225900,0,"[0, 1]",3,0,model_family_disagreement,29.388595,moderate
20228502,0,"[0, 1]",3,0,model_family_disagreement,17.827714,low
20229007,0,"[0, 1]",3,1,model_family_disagreement,32.276447,moderate
20229672,0,"[0, 1]",3,0,model_family_disagreement,30.000689,moderate
20230549,1,"[0, 1]",3,0,model_family_disagreement,21.616238,moderate
20230599,0,"[0, 1]",3,0,model_family_disagreement,29.45183,moderate
20234341,0,"[0, 1]",3,0,model_family_disagreement,18.879797,low
20235700,0,"[0, 1]",3,0,model_family_disagreement,31.803739,moderate
20235756,1,"[0, 1]",3,0,model_family_disagreement,26.040174,moderate
20238063,0,"[0, 1]",3,0,model_family_disagreement,22.309998,moderate
20239849,0,"[0, 1]",3,0,model_family_disagreement,21.473254,moderate
20242147,0,"[0, 1]",3,0,model_family_disagreement,22.72649,moderate
20242191,0,"[0, 1]",3,0,model_family_disagreement,20.82627,moderate
20242216,1,"[0, 1]",3,0,model_family_disagreement,42.213864,elevated
20243566,1,"[0, 1]",3,0,model_family_disagreement,25.08749,moderate
20244670,0,"[0, 1]",3,0,model_family_disagreement,29.036697,moderate
20244977,1,"[0, 1]",3,0,model_family_disagreement,26.336116,moderate
20247517,0,"[0, 1]",3,0,model_family_disagreement,19.405211,low
20250458,0,"[0, 1]",3,0,model_family_disagreement,21.864394,moderate
20250697,0,"[0, 1]",3,0,model_family_disagreement,30.592929,moderate
20251346,1,"[0, 1]",3,0,model_family_disagreement,33.289071,moderate
20251732,0,"[0, 1]",3,0,model_family_disagreement,23.674185,moderate
20252091,0,"[0, 1]",3,0,model_family_disagreement,33.26978,moderate
20252373,0,"[0, 1]",3,0,model_family_disagreement,29.105182,moderate
20252558,0,"[0, 1]",3,0,model_family_disagreement,18.430943,low
20253062,0,"[0, 1]",3,0,model_family_disagreement,24.188519,moderate
20253106,0,"[0, 1]",3,0,model_family_disagreement,33.257782,moderate
20255501,0,"[0, 1]",3,0,model_family_disagreement,31.050106,moderate
20257744,0,"[0, 1]",3,0,model_family_disagreement,28.175411,moderate
20259221,0,"[0, 1]",3,0,model_family_disagreement,29.997517,moderate
20260277,0,"[0, 1]",3,0,model_family_disagreement,19.517985,low
20262623,0,"[0, 1]",3,0,model_family_disagreement,18.344343,low
20264308,0,"[0, 1]",3,0,model_family_disagreement,25.605978,moderate
20265661,0,"[0, 1]",3,0,model_family_disagreement,29.155622,moderate
20267136,0,"[0, 1]",3,0,model_family_disagreement,26.721625,moderate
20267223,0,"[0, 1]",3,1,model_family_disagreement,31.470543,moderate
20267494,1,"[0, 1]",3,0,model_family_disagreement,38.860276,moderate
20267940,0,"[0, 1]",3,0,model_family_disagreement,27.404005,moderate
20271480,0,"[0, 1]",3,0,model_family_disagreement,22.168759,moderate
20274138,0,"[0, 1]",3,0,model_family_disagreement,21.042661,moderate
20275714,0,"[0, 1]",3,0,model_family_disagreement,29.239576,moderate
20275974,0,"[0, 1]",3,0,model_family_disagreement,23.337661,moderate
20275975,0,"[0, 1]",3,0,model_family_disagreement,29.019398,moderate
20276703,0,"[0, 1]",3,0,model_family_disagreement,20.449888,moderate
20276732,0,"[0, 1]",3,0,model_family_disagreement,32.986086,moderate
20276770,0,"[0, 1]",3,0,model_family_disagreement,29.456917,moderate
20277039,0,"[0, 1]",3,0,model_family_disagreement,19.234719,low
20277142,0,"[0, 1]",3,0,model_family_disagreement,31.226419,moderate
20277617,0,"[0, 1]",3,0,model_family_disagreement,19.260563,low
20277810,0,"[0, 1]",3,0,model_family_disagreement,24.734622,moderate
20277830,0,"[0, 1]",3,0,model_family_disagreement,26.279338,moderate
20277958,0,"[0, 1]",3,0,model_family_disagreement,30.891252,moderate
20278381,0,"[0, 1]",3,0,model_family_disagreement,26.257498,moderate
20279816,1,"[0, 1]",3,0,model_family_disagreement,32.209281,moderate
20280491,0,"[0, 1]",3,0,model_family_disagreement,31.932136,moderate
20281365,0,"[0, 1]",3,0,model_family_disagreement,28.930929,moderate
20284422,0,"[0, 1]",3,0,model_family_disagreement,31.067488,moderate
20285179,0,"[0, 1]",3,0,model_family_disagreement,27.12492,moderate
20285263,1,"[0, 1]",3,0,model_family_disagreement,34.102338,moderate
20285339,0,"[0, 1]",3,0,model_family_disagreement,19.806085,low
20285540,0,"[0, 1]",3,0,model_family_disagreement,29.707699,moderate
20285567,0,"[0, 1]",3,0,model_family_disagreement,31.76161,moderate
20285990,0,"[0, 1]",3,0,model_family_disagreement,29.949503,moderate
20286079,0,"[0, 1]",3,0,model_family_disagreement,28.472524,moderate
20288592,0,"[0, 1]",3,0,model_family_disagreement,27.537335,moderate
20292165,0,"[0, 1]",3,0,model_family_disagreement,27.598578,moderate
20293054,0,"[0, 1]",3,0,model_family_disagreement,29.927181,moderate
20293726,0,"[0, 1]",3,0,model_family_disagreement,27.97974,moderate
20294739,1,"[0, 1]",3,0,model_family_disagreement,24.099069,moderate
20299582,0,"[0, 1]",3,0,model_family_disagreement,20.604632,moderate
20301011,0,"[0, 1]",3,0,model_family_disagreement,29.291498,moderate
20302156,0,"[0, 1]",3,0,model_family_disagreement,27.651089,moderate
20302169,1,"[0, 1]",3,0,model_family_disagreement,34.011943,moderate
20302311,0,"[0, 1]",3,0,model_family_disagreement,28.614606,moderate
20302830,0,"[0, 1]",3,0,model_family_disagreement,30.004776,moderate
20303250,0,"[0, 1]",3,0,model_family_disagreement,31.389071,moderate
20303262,0,"[0, 1]",3,0,model_family_disagreement,26.070001,moderate
20303449,0,"[0, 1]",3,0,model_family_disagreement,29.952023,moderate
20303933,0,"[0, 1]",3,0,model_family_disagreement,26.319059,moderate
20304330,1,"[0, 1]",3,0,model_family_disagreement,24.042229,moderate
20304640,0,"[0, 1]",3,0,model_family_disagreement,27.848533,moderate
20306367,0,"[0, 1]",3,0,model_family_disagreement,36.373114,moderate
20307005,1,"[0, 1]",3,0,model_family_disagreement,37.955418,moderate
